G_sol,DeltaG_sol,volume,sol_dip,O_charges,C_charges,Most_neg,Most_pos,Het_charges,MW,SASA,LogS
-23241.4801,102.8506,238.349,0.080924,0,-0.6106,-0.07659,0.07273,0,192.2598,395.0820618,-5.89
-19904.8627,92.0369,143.647,3.48465,0,0.64414,-0.35193,0.2314,-1.13785,132.1244,281.3888855,0.02
-20117.9443,-4.9702,149.377,1.78339,-0.71879,-0.01754,-0.39089,0.23071,-0.71879,124.139,297.1837769,-0.29
-24234.3912,93.6628,292.069,0.00245331,0,-0.81316,-0.06529,0.06879,0,252.3148,442.4205322,-8.794931
-28903.9558,147.6344,350.264,10.1002,-1.18682,0.86355,-0.47725,0.46934,-2.20265,317.3191,527.6193237,-5.324
-26799.4535,76.0395,293.868,10.3953,-1.16541,0.36161,-0.45396,0.55743,-1.38963,260.2518,472.7465515,-2.81
-24594.9717,392.4624,223.789,2.54589,-0.76237,0.66767,-0.50323,0.50569,-1.14962,179.2182,414.4380188,-2.58
-31866.6735,-210.4858,372.206,7.65681,-0.76672,-0.06078,-0.59284,0.87951,-0.63097,412.0646,541.399231,-5.66
-28677.1596,-32.4723,345.944,2.94846,0,-0.17299,-0.1168,0.24639,-0.57303,354.4901,499.493042,-6.62
-25317.4015,102.261,241.129,2.84441,-0.81273,0.56075,-0.49501,0.50738,-1.23773,213.6633,431.9839172,-3.38497
-21573.0399,15.132,192.121,0.049371,0,-0.47185,-0.09389,0.0692,0,154.211,347.111145,-4.54
-25953.3181,-456.9755,282.881,3.71476,-0.85424,0.38124,-0.4815,0.50257,-1.59851,252.272,458.2911377,-4.10651
-20264.1002,-34.8556,175.715,0.0129328,0,-0.35827,-0.08146,0.06486,0,132.2048,328.6447144,-4.37
-27259.5009,-170.3836,289.684,8.74417,-1.66577,-0.062,-0.77277,1.92033,-1.01771,267.302,482.2610779,-2.44
-21991.7677,-498.7538,161.396,4.4411,-0.7715,-0.05807,-0.38575,0.52555,-0.34069,157.5561,305.4895935,-2.92
-24977.9579,96.766,265.084,4.15452,-0.45915,-0.07452,-0.45915,0.36318,-0.78242,223.2738,450.1101379,-4.235
-31270.1693,-608.2206,365.835,3.38716,-3.84738,1.70071,-0.3767,0.23373,-3.84738,342.2992,493.2972412,0.79
-17129.2558,-39.8266,97.6588,2.63574,0,0.28225,-0.35586,0.18904,-0.71064,80.089,226.633606,1.1
-28637.5219,-6.2864,335.582,5.8658,-2.31913,0.33178,-0.78568,1.89705,-1.14437,285.3574,490.5489502,-4.021
-29460.233,-307.3351,409.104,4.30644,-1.06344,0.20182,-0.37076,0.297,-1.06344,330.4662,532.7588501,-4.71
-28378.3731,29.3535,360.802,0.000465223,0,-0.22576,-0.0313,0.02766,0,226.4446,625.7022705,-8.400008
-23566.047,-11.8046,212.839,5.32529,0,0.32761,-0.22529,0.29708,-0.6313,230.9084,357.5361938,-3.76
-30144.0734,-20.7718,380.038,8.21349,-1.74305,1.26244,-0.38088,0.32793,-1.83461,352.7707,570.1123657,-4.65446
-30132.5572,-281.3996,372.577,9.94113,-1.26851,0.30167,-0.42756,0.4581,-1.39369,342.7781,561.8047485,-5.84
-20627.5763,-66.0255,138.155,4.38139,-0.36526,0.27987,-0.36526,0.21856,-0.81329,128.9858,271.3773193,-0.11
